ASIN,Title,Authors,PurchaseDate
"B077F4SK36","図解・最新　難しいことはわかりませんが、お金の増やし方を教えてください！","山崎元","2018/7/25"
"B08147GCLS","図解即戦力　Amazon Web Servicesのしくみと技術がこれ1冊でしっかりわかる教科書","小笠原 種高","2020/8/1"
"B072HVZ9RF","多動力 (NewsPicks Book)","堀江貴文","2018/7/17"
"B085KSVY2W","大前研一 2020年の世界－「分断」から「連帯」へ－　大前研一ビジネスジャーナル特別号 (大前研一books（NextPublishing）)","good.book編集部","2020/8/1"
"B01IQP2QZC","好かれる人のモノの言い方 第二印象で心をとらえるちょっとした習慣32 (スマートブックス)","西松 眞子","2018/7/17"
"B0756WCWWZ","孫社長にたたきこまれた すごい「数値化」仕事術","三木 雄信","2019/11/23"
"B07GP738QZ","孫社長の締め切りをすべて守った 最速！ 「プロマネ」仕事術","三木 雄信","2019/3/9"
"B00HWLJI3U","実践Vim　思考のスピードで編集しよう！ (アスキー書籍)","Ｄｒｅｗ Ｎｅｉｌ","2020/4/21"
"B088R992TJ","実践Ｄａｔａ　Ｓｃｉｅｎｃｅシリーズ　ＰｙｔｈｏｎではじめるＫａｇｇｌｅスタートブック (ＫＳ情報科学専門書)","石原祥太郎","2020/7/25"
"B0113WS5H8","小学生からはじめる 伝える力が身につく本 -プレゼンテーション-","山崎 紅","2020/5/29"
"B014EWXBQ4","小学生からはじめる 考える力が身につく本 -ロジカルシンキング-","山﨑 紅","2020/5/29"
"B018FUXHQK","小学生からはじめる　整理整頓が身につく本　-セルフマネジメント-","山崎 紅","2020/5/29"
"B075XG349S","小学生からはじめるわいわいタブレットプログラミング","阿部 和広","2020/5/29"
"B00JKISD2A","小学生からはじめるわくわくプログラミング","阿部 和広","2020/5/29"
"B07W5BC4SB","小学生からはじめるわくわくプログラミング2 Scratch 3.0版","阿部 和広","2020/5/29"
"B07F3MTXY4","徹底理解ブロックチェーン ゼロから着実にわかる次世代技術の原則 impress top gearシリーズ","Daniel Drescher","2018/9/29"
"B007QS7VRO","慟哭 (創元推理文庫)","貫井 徳郎","2020/2/23"
"B07WBYGZ6F","投資家みたいに生きろ――将来の不安を打ち破る人生戦略","藤野 英人","2019/11/10"
"B08FQYYMTP","揚げて炙ってわかるコンピュータのしくみ","秋田 純一","2020/11/11"
"B07F46Q9P2","文庫　データの見えざる手　ウエアラブルセンサが明かす人間・組織・社会の法則","矢野 和男","2019/12/25"
"B077NC4N14","新しいシェルプログラミングの教科書","三宅 英明","2020/9/10"
"B07YTZ3NLQ","新版　知らないと損する　池上彰のお金の学校 (朝日新書)","池上　彰","2019/11/10"
"B0797K44CH","日本再興戦略 (NewsPicks Book)","落合陽一","2018/9/22"
"B01BOU0C7U","最強経営者の思考法――松下幸之助と孫正義から直接学んだ実践リーダー学","嶋聡","2020/1/14"
"B011UFDIZM","最速の仕事術はプログラマーが知っている","清水 亮","2020/9/22"
"B07ZD2TFTF","最適化手法入門 (データサイエンス入門シリーズ)","寒野善博","2020/7/28"
"B07HFVJP85","未来の稼ぎ方　ビジネス年表2019－2038 (幻冬舎新書)","坂口孝則","2018/11/11"
"B01HZ4RDS0","本物のデータ分析力が身に付く本","河村真一","2019/2/9"
"B0081MAEFU","村上式シンプル仕事術","村上 憲郎","2019/9/20"
"B07LFXXPNZ","株とPython─自作プログラムでお金儲けを目指す本 (技術の泉シリーズ（NextPublishing）)","宮部 保雄","2019/7/28"
"B082DXGBNZ","株の鬼100則","石井 勝利","2020/1/26"
"B008R54O70","楽天大学学長が教える「ビジネス頭」の磨き方","仲山 進也","2020/9/3"
"B07T7M1XBS","機械学習のための「前処理」入門","足立悠","2019/11/26"
"B06Y41YGNW","機械学習入門 ボルツマン機械学習から深層学習まで","大関真之","2018/8/22"
"B0796NJ2XS","武器としての会計思考力　会社の数字をどのように戦略に活用するか？","矢部謙介","2018/7/27"
"B08BL3BQGR","武器としての図で考える習慣―「抽象化思考」のレッスン","平井 孝志","2020/7/28"
"B07D3KS4CH","武器になる哲学　人生を生き抜くための哲学・思想のキーコンセプト50","山口 周","2020/9/9"
"B07BZBKC4N","無敵の思考","ひろゆき","2020/11/8"
"B01MDLGE9O","理科系の作文技術（リフロー版） (中公新書)","木下是雄","2020/2/27"
"B079M38WSS","生きている会社、死んでいる会社―「創造的新陳代謝」を生み出す１０の基本原則","遠藤 功","2020/10/26"
"B083PR3WQG","異端のすすめ　強みを武器にする生き方 (SB新書)","橋下 徹","2020/3/31"
"B07V3CMC33","疑う力 「常識」の９９％はウソである","堀江貴文","2019/9/15"
"B07Q8QL4NQ","発想力を鍛える33の思考実験","北村良子","2019/11/23"
"B06W9LKNC8","瞬間フレームワーク","ジェームズ・マクグラス","2020/11/7"
"B0816FRF2L","知識を操る超読書術","メンタリストDaiGo","2020/8/1"
"B073CD4KYY","筋トレビジネスエリートがやっている最強の食べ方","Testosterone","2018/7/22"
"B087C5PLYB","管理職失格 新世代リーダーへの条件 (日本経済新聞出版)","木村尚敬","2020/8/1"
"B07JMQRNPL","組織の未来はエンゲージメントで決まる","新居佳英","2018/11/27"
"B01FHPVBPK","自分の考えに自信が持てる本","広瀬一郎","2020/9/23"
"B01IGW5MR4","見えないものをさぐる―それがベイズ ツールによる実践ベイズ統計","藤田一弥","2020/8/7"
"B07KPSJKH8","見て試してわかる機械学習アルゴリズムの仕組み 機械学習図鑑","秋庭 伸也","2019/5/9"
"B07DCJRHDS","論理的思考力を鍛える３３の思考実験","北村良子","2019/11/23"
"B0831RRWXN","高知能者のコミュニケーショントラブル2: 人間は自閉的知能を持ったサルである","安間　伸","2020/12/23"
"B07H6XG7RH","高知能者のコミュニケーショントラブル: IQが20違うと会話が通じない","安間　伸","2020/11/28"
"B01EJ7AK5O","鬼滅の刃 1 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B0792PBGJ2","鬼滅の刃 10 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07CG7N727","鬼滅の刃 11 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07DWWDZJ4","鬼滅の刃 12 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07HQRSG7F","鬼滅の刃 13 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07KS3MHYG","鬼滅の刃 14 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07NWLHK26","鬼滅の刃 15 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07S6YZWQQ","鬼滅の刃 16 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07WZC7PC1","鬼滅の刃 17 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07ZK6PH1C","鬼滅の刃 18 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B0833T5B6S","鬼滅の刃 19 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B01HD6UKSU","鬼滅の刃 2 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B086C1PWTQ","鬼滅の刃 20 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B088YKRVMX","鬼滅の刃 21 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B08GFL4F68","鬼滅の刃 22 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B08LYPKKNM","鬼滅の刃 23 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/12/4"
"B01KJGD5YC","鬼滅の刃 3 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B01M6ZDMEH","鬼滅の刃 4 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B01MS9J9A4","鬼滅の刃 5 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B06XPZF4DB","鬼滅の刃 6 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B072KQ9TWP","鬼滅の刃 7 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B074VZ365B","鬼滅の刃 8 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B076HNHJMS","鬼滅の刃 9 (ジャンプコミックスDIGITAL)","吾峠呼世晴","2020/11/5"
"B07JY5DQVR","０才から１００才まで学び続けなくてはならない時代を生きる学ぶ人と育てる人のための教科書","落合陽一","2018/11/29"
"B084MF2QDM","１％の努力","ひろゆき","2020/11/14"
"B07WJ1Z8FY","２０３０年の世界地図帳　あたらしい経済とSDGs、未来への展望","落合 陽一","2019/11/26"
"B01MR7QRCI","ＭＢＡ１００の基本","グロービス","2020/10/1"
